WANT,NEED,URGE,DOING,HOW,GOOD,BETTER,WORSE,SUCCEED,PAST,THOUGHT,REMIND,GRAB,,,,
2,2,1,1,1,1,2,2,1,1,2,1,1,,,,
5,6,6,4,4,7,9,5,6,4,8,5,6,,,,
9,6,10,9,9,10,11,10,10,6,10,8,6,,,,
2,1,1,2,1,2,4,1,2,2,2,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
5,3,1,2,2,2,2,2,2,1,4,1,1,,,,
4,2,2,4,3,3,3,3,3,6,4,3,3,,,,
3,3,3,3,3,3,3,3,3,3,6,3,3,,,,
10,10,10,6,6,6,6,11,11,11,7,7,7,,,,
6,5,6,7,6,7,6,6,6,7,11,5,7,,,,
5,5,3,3,2,1,2,1,8,4,4,2,2,,,,
7,7,8,8,6,9,9,7,7,7,8,9,8,,,,
8,3,3,6,8,7,7,8,5,3,5,5,4,,,,
3,5,3,6,6,8,7,9,11,7,3,3,3,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
8,3,3,4,2,2,2,4,2,2,7,2,2,,,,
8,6,8,6,6,8,7,9,6,5,9,8,7,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
4,4,4,4,4,6,4,4,4,1,7,6,4,,,,
2,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
3,5,3,3,3,5,4,3,3,6,4,5,4,,,,
1,1,1,2,1,1,1,1,1,1,2,2,2,,,,
7,4,4,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
11,9,9,9,7,11,11,8,10,10,10,8,7,,,,
2,2,2,2,2,5,6,2,2,2,1,1,1,,,,
5,7,3,5,5,5,4,2,4,1,3,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
5,4,4,4,4,4,4,3,4,5,3,3,4,,,,
6,7,6,7,5,5,5,8,7,8,7,9,7,,,,
7,7,6,8,8,8,7,6,7,9,8,9,8,,,,
3,2,3,4,3,3,2,2,1,4,6,6,4,,,,
3,3,4,4,2,5,6,5,7,1,4,1,3,,,,
4,3,3,4,5,5,5,1,1,4,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
3,3,2,1,1,1,1,1,1,1,1,1,1,,,,
2,2,1,2,2,2,2,2,2,1,2,2,2,,,,
7,9,4,6,6,7,8,6,1,1,9,8,8,,,,
2,1,1,1,1,1,1,1,1,1,1,1,1,,,,
9,8,8,8,8,7,8,7,8,7,8,6,7,,,,
9,7,9,9,8,7,7,8,10,9,10,10,9,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
8,8,9,8,7,8,8,9,7,9,8,8,8,,,,
1,1,1,1,1,1,1,1,1,1,1,3,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
4,2,4,4,4,5,5,3,3,8,8,6,4,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
4,4,2,2,1,1,1,1,1,1,3,3,2,,,,
6,3,4,4,4,4,4,2,4,3,5,2,2,,,,
9,8,10,3,4,5,3,4,5,6,6,4,5,,,,
5,3,3,2,1,3,2,1,1,3,1,1,3,,,,
4,4,4,3,4,5,6,3,3,3,4,4,4,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
6,4,4,4,4,6,5,8,8,6,6,8,5,,,,
7,8,6,5,6,5,5,5,5,1,9,8,8,,,,
6,7,8,7,6,6,8,5,9,7,7,7,6,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,2,1,1,1,6,3,4,,,,
10,6,7,8,8,7,5,3,8,6,9,10,7,,,,
2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
5,6,6,5,4,6,6,4,4,4,7,7,7,,,,
6,6,4,7,5,9,8,4,7,3,7,8,6,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
8,8,8,3,3,8,7,7,2,2,8,8,8,,,,
9,10,11,11,9,11,11,11,9,10,11,11,11,,,,
2,2,2,2,3,4,2,3,2,4,5,3,4,,,,
2,2,2,1,1,1,1,1,1,2,2,2,2,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
5,4,5,6,6,4,8,8,5,5,9,7,7,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
10,11,10,5,7,9,9,10,5,7,6,5,5,,,,
6,4,6,6,6,6,6,2,6,2,6,6,6,,,,
9,10,10,8,8,8,8,8,8,8,9,7,7,,,,
5,2,3,3,4,6,5,3,2,2,3,2,3,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
6,5,5,6,6,10,10,7,9,3,7,7,7,,,,
3,3,3,7,6,6,6,7,5,6,4,8,6,,,,
9,9,9,9,7,9,9,7,8,6,8,5,5,,,,
1,1,3,1,1,1,1,1,1,1,4,5,2,,,,
7,7,7,7,8,8,7,5,6,9,7,8,8,,,,
3,1,2,3,1,2,2,2,2,2,1,1,1,,,,
6,6,4,3,3,3,3,3,3,3,4,6,4,,,,
1,2,1,1,1,2,2,2,2,2,1,3,3,,,,
3,3,3,1,1,1,1,1,1,1,1,1,1,,,,
6,8,6,7,4,6,7,5,6,4,7,7,7,,,,
2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
1,1,1,1,1,1,1,1,1,2,1,2,1,,,,
4,6,5,4,4,4,3,3,3,6,4,5,4,,,,
5,5,5,4,4,6,8,9,8,7,4,6,7,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
5,5,6,3,4,3,3,5,5,3,4,5,2,,,,
3,1,1,1,1,1,1,1,1,1,1,1,1,,,,
3,2,3,3,3,3,3,3,3,3,4,4,4,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
4,2,1,4,5,5,3,2,5,6,4,5,3,,,,
1,6,1,2,2,5,5,5,3,6,5,6,7,,,,
3,1,1,2,2,2,2,1,2,3,2,2,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
10,8,10,10,10,10,10,10,10,10,9,9,9,,,,
2,5,2,2,2,3,3,7,2,2,3,4,4,,,,
2,3,2,2,2,2,2,2,2,2,2,1,1,,,,
6,6,6,6,3,7,7,3,3,5,8,4,4,,,,
7,7,7,7,5,7,7,7,7,7,6,7,7,,,,
6,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
2,1,1,2,1,1,2,1,1,1,2,2,2,,,,
9,6,8,9,8,10,6,6,5,10,8,9,10,,,,
10,10,10,10,9,10,10,10,10,8,10,10,10,,,,
3,4,2,3,1,3,1,1,2,1,3,4,2,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
6,6,6,6,6,6,6,6,6,6,6,6,6,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,2,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,4,1,2,1,6,1,1,,,,
3,3,3,4,4,4,4,4,3,4,4,5,4,,,,
3,6,5,3,5,6,6,6,7,6,4,5,5,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,3,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
2,1,1,2,2,2,1,1,1,1,3,6,3,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,2,1,1,3,1,1,,,,
